페이지	키워드	제목	URL
13	킥보드	손해보험협회, 車vs킥보드 교통사고 과실비율 기준 마련	
13	킥보드	교차로 지나다 역주행하는 킥보드 친 자동차, 과실비율 30%	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0012478380
13	킥보드	빔모빌리티, 여름 장마철 대비 안전 가이드라인 수립	
13	킥보드	'메이드 인 루프탑' 정휘, 하이 텐션 극과 극	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=140&aid=0000044638
13	킥보드	中 영사, 음주운전으로 적발된 뒤...'면책특권' 주장	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=057&aid=0001587140
14	킥보드	빔모빌리티, 장마철 대비 안전 가이드라인 보강	
14	킥보드	빔모빌리티, 장마철 대비 안전 가이드라인 수립… 안전사고 및 시민 불편 예방	
14	킥보드	이윤지 첫째 딸, 이마에 혹 나서 반짝반짝..엄마 따라 하고픈 7살	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=112&aid=0003447963
14	킥보드	강원경찰, 전동 킥보드 등 법규 위반 93건 적발	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011069060
14	킥보드	빔모빌리티, 장마철 대비 안전 가이드라인 수립	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002952509
14	킥보드	중국 영사, 심야 음주운전 적발…면책특권 주장	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001450099
14	킥보드	中영사, 음주운전 적발되니···"공무 중이었다" 면책특권 주장	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003926965
14	킥보드	[데이터로 읽는 경제](2) 무응답 데이터가 가장 중요하다	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=033&aid=0000042753
14	킥보드	中영사, 새벽 2시에 7㎞ 음주운전… “공무중, 면책특권” 주장	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003621788
14	킥보드	“장마철 주차제한 확대”…전동킥보드 빔모빌리티, 안전 가이드라인 강화	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=029&aid=0002682290
